family,nafnet.psnr_med,nafnet.ssim_med,nafnet.kl_med,nafnet.fft_err_med,nafnet.col_precision_med,nafnet.col_recall_med,nafnet.col_rmse_med,nafnet.psnr_dmg_med,nafnet.psnr_undmg_med,nafnet.psnr_q25,nafnet.ssim_q25,nafnet.kl_q25,nafnet.fft_err_q25,nafnet.col_precision_q25,nafnet.col_recall_q25,nafnet.col_rmse_q25,nafnet.psnr_dmg_q25,nafnet.psnr_undmg_q25,nafnet.psnr_q75,nafnet.ssim_q75,nafnet.kl_q75,nafnet.fft_err_q75,nafnet.col_precision_q75,nafnet.col_recall_q75,nafnet.col_rmse_q75,nafnet.psnr_dmg_q75,nafnet.psnr_undmg_q75,nafnet.n,restormer.psnr_med,restormer.ssim_med,restormer.kl_med,restormer.fft_err_med,restormer.col_precision_med,restormer.col_recall_med,restormer.col_rmse_med,restormer.psnr_dmg_med,restormer.psnr_undmg_med,restormer.psnr_q25,restormer.ssim_q25,restormer.kl_q25,restormer.fft_err_q25,restormer.col_precision_q25,restormer.col_recall_q25,restormer.col_rmse_q25,restormer.psnr_dmg_q25,restormer.psnr_undmg_q25,restormer.psnr_q75,restormer.ssim_q75,restormer.kl_q75,restormer.fft_err_q75,restormer.col_precision_q75,restormer.col_recall_q75,restormer.col_rmse_q75,restormer.psnr_dmg_q75,restormer.psnr_undmg_q75,restormer.n,identity.psnr_med,identity.ssim_med,identity.kl_med,identity.fft_err_med,identity.col_precision_med,identity.col_recall_med,identity.col_rmse_med,identity.psnr_dmg_med,identity.psnr_undmg_med,identity.psnr_q25,identity.ssim_q25,identity.kl_q25,identity.fft_err_q25,identity.col_precision_q25,identity.col_recall_q25,identity.col_rmse_q25,identity.psnr_dmg_q25,identity.psnr_undmg_q25,identity.psnr_q75,identity.ssim_q75,identity.kl_q75,identity.fft_err_q75,identity.col_precision_q75,identity.col_recall_q75,identity.col_rmse_q75,identity.psnr_dmg_q75,identity.psnr_undmg_q75,identity.n
cose2,32.360573027907506,0.9420239941674736,0.0186176913508043,0.99603918429934,0.981651376146789,0.975609756097561,1.1067971810589328,25.072961081098768,36.73901149006426,28.387089749176063,0.9267177884181619,0.01373542774942285,0.8398473914669657,0.9675438596491228,0.9478319783197833,0.568433706667602,22.061147977362843,32.55077730575124,35.04732819555991,0.948872313465025,0.07073646398273961,1.0353268985363286,0.9895822029300054,0.9814814814814816,1.6114656500563853,27.580904868460692,38.49248158292063,27,28.23639971131153,0.9287157678186592,0.0368038164344649,1.1116413351123895,1.0,0.9375,1.2551779547590882,18.729864722928163,37.263368285494586,26.332004991827983,0.9090164346543859,0.0195562815751342,1.0185246900228533,0.9818166858647359,0.9054878048780488,0.6578881362586102,17.22410192275654,34.6413059363047,32.324954877331955,0.9445420044595083,0.19559936919955673,1.2517839840514866,1.0,0.9803240740740742,1.7586917139990053,22.373949271068454,38.6397303971992,27,22.94506082551304,0.8650313594995591,0.0223733944986679,0.0507300464059359,1.0,0.934959349593496,0.5308655025693249,13.29289737871668,36.57259631181929,20.459717308786708,0.8291878733342124,0.0097216041637977,0.0296126842580047,0.9916643512086691,0.8674768518518519,0.44120248137551016,12.554981592968028,35.64853950422211,30.126007955419652,0.9057868908197987,0.05522922545986525,0.0766846591149232,1.0,0.9739159891598916,0.6083773520077881,17.732271645257022,36.81213262483771,27
cro2,27.03107388356326,0.7621319360026259,0.0682712449437104,1.023401407882787,0.9382716049382716,0.9714285714285714,0.7779866052154991,27.03987546620056,27.116988781654264,24.6624497965474,0.7517572182597738,0.0337211581388691,0.928064527982086,0.9172374429223744,0.95,0.5361902647381804,24.436149299606754,24.997140787271157,28.70004802823574,0.7711743185974365,0.09379757396435255,1.3967564374667774,0.9804577464788732,0.987012987012987,1.5616370615270698,28.606985758454265,30.623508445630765,27,24.8165451699516,0.754301807148062,0.0902412232126315,1.158078535470753,0.9473684210526316,0.948051948051948,1.925066843759244,24.66452011812528,29.77668367347268,22.890561684016873,0.7083790350974658,0.0456078704993403,1.1032291298018073,0.9033333333333333,0.9246753246753248,0.49828176658071033,22.016874427591524,26.88172130945525,28.844550295800826,0.767540014596426,0.12997547418204913,1.433523453881035,0.9580399061032864,0.9714285714285714,3.885928313074764,28.238154779806738,32.68962263710809,27,22.296407817843672,0.6163499217932266,0.0314831411190723,0.0482979119441409,0.972972972972973,0.95,0.5537749241945383,21.01181101200154,31.700620579345134,17.14610267482316,0.5635348372323186,0.0193455341989968,0.02549477757725225,0.9426699426699428,0.8428571428571429,0.5037596094612762,17.039489520389438,31.10816274524995,26.24376265742326,0.6419588337363153,0.0861353678904092,0.08361373030742915,1.0,1.0,0.7382144535735935,25.300503138249876,32.13197458959449,27
crse2,29.31735600531082,0.8514183283934437,0.0332236780298916,1.177471255439143,0.986013986013986,0.9935483870967742,0.9431915975083692,26.33032392413053,32.12783585868637,26.124509797649466,0.8427138350396639,0.018982604903245548,1.052488497361737,0.9678453267162945,0.9896373056994818,0.662035627233539,24.358713798033936,27.234021084128603,31.257400931298836,0.8995942727967818,0.0461803452147628,1.2598709105841022,0.9884492260981486,1.0,1.1557781509985479,30.13936076349843,33.99540113639203,27,27.656479512497825,0.8518280111231598,0.032773135838624,1.2533792526022671,0.979591836734694,0.9870967741935484,1.150870675296872,24.46357871520596,32.630199346945005,24.892368497834035,0.8205157819424403,0.02534133632363695,1.1805330872735933,0.9609952194697957,0.9715025906735753,0.645750688275082,21.969551680210984,27.61006576390684,30.609276400953533,0.8947160724195945,0.06840587082175695,1.3421556459119883,0.9871381306865178,0.9941835199732575,2.17502036547806,27.73775875323473,35.979726837469244,27,23.86125243218321,0.7544462705584674,0.0251037151753147,0.0360715631306568,1.0,0.9602649006622516,0.6586528140164322,17.225580643558494,33.380998841978496,20.263575772652167,0.7268381064129561,0.01282440902009235,0.02608740463216215,0.9947638237793678,0.8857295449690237,0.49552069635146967,14.57521813898057,32.46928020791759,29.281296092172703,0.7905855844873737,0.0463753338103728,0.0623444683531122,1.0,0.9903225806451612,1.0345425636969796,23.348258128423417,34.788069103956346,27
crte2,29.6009940677528,0.914453645847636,0.0246571989995168,1.298480354551642,0.9798994974874372,1.0,0.6398099132915954,26.41013027976168,36.007609983241686,27.497200149384717,0.892229875017509,0.016392433007996948,1.1062144057388612,0.975,0.9945289206917114,0.47230239754073433,23.62227624045532,29.104191118089517,32.57463192696608,0.9222013068729769,0.06832185898830276,1.3671453766497936,0.9875776397515528,1.0,1.1003944351447748,30.977561805287113,36.81580331592174,27,28.510633359285112,0.8988516157923164,0.0613130791564655,1.228871051924899,0.9875,0.9883720930232558,1.2208381792328629,22.11320336195889,34.639466877533444,24.83747819271654,0.8804829257315318,0.023105143848709903,1.1301321125741461,0.9810708598726114,0.972644603458557,0.5967931458514733,19.669020168954077,32.61885029840475,32.19141092570418,0.9149140363075474,0.14660037483955085,1.2826672462089315,0.9937106918238994,0.9945289206917114,2.0915242563706085,26.60628650093135,37.05290316656013,27,21.897667636029603,0.8182829275258813,0.0223583022317218,0.0354920503713112,1.0,0.9534883720930232,0.4485347611419462,15.402869360189875,34.08062183185413,19.319395333407662,0.7696322413765346,0.00918868636013885,0.024452100099730402,0.9969696969696971,0.8930817610062893,0.4190720045878032,13.798180410941093,32.80042648757723,27.7483352025404,0.8434161670793168,0.0745573274933636,0.07289647933697015,1.0,0.9834542815674892,0.9018001632215467,18.784122691595506,34.83264830442225,27
cus2,32.48969220345002,0.9124253355635336,0.0532141843435767,0.969708737264336,0.9552238805970148,1.0,1.231107225224513,24.794285261569343,35.0201313220441,30.08949513123933,0.9062854737853787,0.0176296804208544,0.874176782430614,0.9464285714285714,1.0,0.7029141611806669,22.19547642322768,33.69291340541979,34.88790503969429,0.9187742298031546,0.1225239394285673,1.127259952352627,0.9687194525904204,1.0,1.562742603152783,30.948032209577192,36.37750536845475,27,33.522288658331085,0.9137710282004946,0.0422465518382075,1.324342325754741,0.984126984126984,0.984375,1.0532687216470449,23.23760372617178,37.03380732820729,29.12837055335749,0.8970609355234421,0.0180314102001149,1.2062157587944293,0.9644654088050315,0.9655070754716981,0.544673540132429,21.153873122441624,34.96235505155556,36.34589842475732,0.9182242554970608,0.0938880028284288,1.5096738104192873,1.0,1.0,1.7400756604919683,28.362470462091643,38.430375288134115,27,29.258347467158604,0.8370851424852436,0.0314674036560188,0.0321320084836088,1.0,0.9433962264150944,0.4714045207910317,18.610419611535647,36.35468830178919,25.697088024132864,0.7931341505633881,0.0131092308454044,0.02529478814411,1.0,0.8887087264150944,0.40352604574547046,16.32548907265443,35.261060939857444,33.763114807809075,0.8543185226754996,0.08261033599910325,0.07048790542384059,1.0,0.9863013698630136,0.7181461651549175,21.451396941101024,36.981428161564295,27
cuse2,30.525891365009784,0.8981185058281914,0.0271728221932563,0.9388656516962224,0.9819277108433736,0.9757575757575756,1.5966004346663816,22.9110436312648,34.48342293152089,28.797448697148045,0.8811749298393958,0.01759347310045005,0.7394083586545395,0.9725274725274724,0.9529446082043724,0.8560199741625061,21.969400072331275,32.67804043227322,32.630140226725075,0.905735568110649,0.2386125262834595,1.069729077344765,0.9878409342893044,0.9915349143610013,2.1367758582070273,24.248345307144483,36.11415228882767,27,29.39048874064224,0.8841392010375395,0.0573314903498328,1.4031344227001497,0.9876543209876544,0.9696969696969696,1.6622749155109218,22.38114842806412,34.109384325099256,26.995101638334006,0.8605803813493051,0.02110157030446315,1.2048002033006442,0.9719355847404628,0.9212121212121211,0.623547828696547,20.521089540086923,30.11409630038056,31.526151508125118,0.8997363238089524,0.26893563931280234,1.505566122721711,0.9972527472527473,0.9889154998771801,2.404131895522034,23.66616021545162,37.718495153943195,27,26.322718876163247,0.8167384135090442,0.0459052080508362,0.0351682127801311,1.0,0.9515151515151516,0.6007884366082042,17.420687691026984,35.11163958357293,22.645811737640646,0.7642280585753369,0.0140250720413444,0.021630440384302597,0.9943174480175643,0.8802773497688752,0.5178645064595178,15.692660348309879,34.085181417381065,31.11914625809556,0.8424068545422072,0.09085186542667306,0.06875169946615756,1.0,0.9913199794555727,0.8222593488581557,20.108298363611567,35.53449057663383,27
feo2,27.324915672998586,0.7899096847931715,0.235104655438653,1.091915005844959,0.9866666666666668,1.0,1.0939475816854345,27.873313023232868,29.286651275011074,22.396542576143606,0.7734517824524412,0.137934065798448,0.9648136379692274,0.9298631476050832,0.9932432432432432,0.7259662712736915,25.02223436466892,19.807847484778556,29.37980762741813,0.8039662995660934,0.676637480337914,1.2451004860595802,0.9866666666666668,1.0,1.6363295724275044,29.155518295260105,29.930627078167777,27,26.647951660097657,0.7858485722725829,0.1781857380099885,1.363893648679136,0.9861111111111112,1.0,1.433197144168957,25.668562517085302,32.00635706907254,24.35270994145675,0.7704962873341721,0.10241068041844795,1.2588899552378923,0.9527529761904763,0.9594594594594594,0.7071067811865476,24.152897206952893,27.982291553130153,29.95688973905158,0.8038873479709243,0.5532453086144122,1.4909932246911586,1.0,1.0,3.4182290022084727,29.126749551818904,33.60881278477278,27,22.930433389496848,0.660783153557733,0.0443816851339125,0.043600715902675,1.0,0.945945945945946,0.5270462766947299,21.71545698438784,31.829993668173685,18.224749974461638,0.6131955232773388,0.0147242541291134,0.0308868138226722,1.0,0.8654186973859105,0.4550618226931168,17.167459356122222,31.058354136176618,28.46494431378705,0.6901832145458211,0.09912474896753296,0.060637722686135195,1.0,1.0,0.74018976390904,26.89614005853879,32.256473007071875,27
fes2,28.762933054055853,0.9377615350462564,0.028583906681792,0.94397464176269,0.9444444444444444,0.9775280898876404,0.5222329678670935,26.0868432150235,32.486668923746194,27.238945090089622,0.9305285828964223,0.01448431346750155,0.6216963567169058,0.9266213791335555,0.9582973206568712,0.4170406537801976,22.125574108795657,27.405052730297193,35.26227671017906,0.9518738682385803,0.05056677419432225,1.0343770099849805,0.9547661640684896,0.9943820224719101,0.9895244147081762,30.76614079396183,39.05249070810469,27,27.68569615847428,0.9054754835131316,0.1312925804095533,1.03550068043166,0.948051948051948,0.9438202247191012,0.7656414934887764,20.058993328039577,29.799265815181023,24.4636450030976,0.8768831036478822,0.0292537827752412,0.9289295514438378,0.9347455822865659,0.9165946413137425,0.49225678481784363,18.332245101150242,27.66632994346946,31.317141517885,0.937555006514281,0.3692869515852463,1.107283478568273,0.9672131147540984,0.9705128205128206,1.8891979773835406,23.227126022849074,34.82960635648508,27,23.81582813688722,0.8739161448676683,0.0210006825413213,0.0300069122562326,0.9523809523809524,0.9487179487179488,0.3487429162314578,14.44436263988065,36.38977742449232,21.088545872155578,0.8352959075031037,0.007089743497965401,0.0225071159327676,0.9318181818181819,0.868632958801498,0.31095076518389553,13.267616111261887,34.614553660863336,28.44271456713479,0.9079779505865784,0.05502284993873785,0.0672690058119047,0.9673022095509622,0.9852564102564102,0.5321297481942966,17.041037895441644,36.61963531209446,27
ges2,25.73813410490245,0.8373743012374422,0.0551308861368619,1.1754124158570722,0.956140350877193,0.990990990990991,1.6447684207494797,25.615678212342434,26.611316869931837,24.35963320317775,0.8236580046829278,0.04503118002209555,0.9407241120106339,0.9420276325616133,0.9896907216494846,0.9028302827725531,23.74740838114975,24.181701828181396,27.486388241913545,0.8445396858654486,0.0831125278711284,1.4017227245462687,0.9649122807017544,1.0,2.134248177519897,28.275856317306854,28.267831721802153,27,25.72056851532285,0.8255509028971361,0.0763132066628654,1.345519304548375,0.9702970297029704,0.9693877551020408,1.889415907924531,24.192278939155926,27.823027575136678,24.21463900105767,0.8176770227211645,0.057742603681969804,1.1708462247794138,0.9612794612794612,0.9459459459459458,0.8298395951096365,22.08344605651133,26.569653993293425,27.421343572813697,0.8357849635420367,0.1228842771233528,1.4464727561100128,0.9793726741095163,1.0,2.602710047610449,27.610457862400985,29.40743263691904,27,21.846249159239957,0.7234178634432512,0.046853633492167,0.0395564609013047,1.0,0.9183673469387756,0.7403221751892368,17.798097057736154,33.47302961889713,19.641268979592247,0.6879687214441637,0.0391732617430156,0.0226084252813815,1.0,0.8615611192930781,0.5297518286922145,16.145562813821805,33.19638724601389,26.278101321005984,0.7544414372365857,0.06507918340611735,0.06563592029420795,1.0,0.9846412791920893,0.828715593417706,22.156062624283173,33.61954060045543,27
gete2,34.60471591751646,0.9538553566250916,0.015664353735718,0.8453055372862988,1.0,0.98989898989899,0.5345224838248488,30.81133117518182,37.41835299213166,30.287608879579928,0.9413523393951652,0.01114610531950205,0.5848169419345415,0.9704815141708345,0.979554162312783,0.43533205889492727,27.40105219036787,31.43483056624263,37.24340997805738,0.9648505134867598,0.13298148238080065,0.9862582266686485,1.0,0.996551724137931,0.7157649907996644,32.90063371327197,39.86740392775606,27,31.797810641305794,0.9483175996347752,0.0316607920106781,0.9541200620892536,1.0,0.9763779527559056,0.6684373647831918,23.18167535988743,36.5939169070134,27.794782296449185,0.9262598000940048,0.01703675963492575,0.7359985304418977,0.9782196969696969,0.9090909090909092,0.3881183015802123,17.974410822402653,33.95180627631673,34.513084993977884,0.9584886048568112,0.1166128688372461,1.0362972174390808,1.0,0.9921259842519684,1.613370186414382,29.466381061241854,40.077515440494764,27,25.230503722213207,0.8793334194073991,0.0191052516467957,0.0472639636233098,1.0,0.984251968503937,0.4338609156373123,16.715526459306048,37.0743029527358,20.94947690784654,0.8047099275727922,0.004888965554999699,0.022530332795995,0.9897948557742373,0.8584267875606458,0.359354442201799,13.06640600518753,36.254553668377376,32.48016304458095,0.9273820520883622,0.14064419964375735,0.107434978080755,1.0,0.9910124870754792,0.6108475677189138,22.921638084795774,37.69562417429343,27
