model,structure,level,noise_std,kl_before,kl_after,fft_before,fft_after
nafnet,vo2_Vacancy-Anion-03.png,1,0.02965906634926796,0.15673454966659828,0.05883291232849978,1.5215752921398047,0.1412721117654242
nafnet,vo2_Vacancy-Anion-03.png,2,0.028834542259573936,0.17288695806948334,0.06361969022831507,1.0987995640416606,0.11503452671830088
nafnet,vo2_Vacancy-Anion-03.png,4,0.027745047584176064,0.13954087247215924,0.05221164032024675,1.3679003099749794,0.15745139574734096
nafnet,vo2_Vacancy-Anion-03.png,8,0.02816244587302208,0.09334916346489554,0.057046349919354825,1.2450554890852177,0.1346027979714721
nafnet,vo2_Vacancy-Anion-03.png,12,0.028522003442049026,0.2667517148307459,0.06702415149438887,1.5530500937002092,0.18030780265459467
nafnet,vo2_Vacancy-Anion-03.png,16,0.027635056525468826,0.09901705263560286,0.04675767642906055,1.0380891668329555,0.12446827770556111
nafnet,vo2_Vacancy-Anion-03.png,20,0.02909925952553749,0.0907802253591852,0.04636528695066531,1.0146057789231258,0.10340826700201246
nafnet,vo2_Vacancy-Anion-03.png,28,0.028831079602241516,0.20588050259388896,0.06103360351071761,1.524958318532695,0.17422375652329666
nafnet,vo2_Vacancy-Anion-03.png,36,0.023018276318907738,0.06914338837524474,0.04877320578820478,0.9447856575631723,0.22128675927332817
nafnet,mno2_Defect-Free.png,1,0.02342214807868004,0.12581184906302295,0.02903990671837986,1.0746541490537838,0.0950930579503299
nafnet,mno2_Defect-Free.png,2,0.022293251007795334,0.20973306987718496,0.020603812153401665,1.1125709590175092,0.093615988882141
nafnet,mno2_Defect-Free.png,4,0.02210908941924572,0.14108251699864796,0.02529675797791222,1.092953183347454,0.09486817812803477
nafnet,mno2_Defect-Free.png,8,0.021790310740470886,0.1212405394417855,0.021493990215602433,1.4715694803625097,0.15490525054695872
nafnet,mno2_Defect-Free.png,12,0.020729513838887215,0.6882192151476518,0.03977094247585464,1.4203670464229057,0.17601505841910858
nafnet,mno2_Defect-Free.png,16,0.0202647615224123,0.9198369720696117,0.03319856439231021,0.9613935058480496,0.12830419866271472
nafnet,mno2_Defect-Free.png,20,0.019588740542531013,0.0705568391231446,0.03259109477361334,0.6504344326201004,0.1842053996777368
nafnet,mno2_Defect-Free.png,28,0.01957746222615242,0.6802186304789483,0.0275158458415224,1.351074298744137,0.20637175942611377
nafnet,mno2_Defect-Free.png,36,0.022624174132943153,0.14452626425567433,0.035682621424227325,1.0503332821957645,0.09091297929501133
nafnet,mos2-A_Adatom-Li.png,1,0.015552978962659836,0.03523752082784436,0.023760765997695655,0.8627808119832053,0.10391976680243906
nafnet,mos2-A_Adatom-Li.png,2,0.015542819164693356,0.030198934303582243,0.026907291437100612,0.8191077447828115,0.10824005163017744
nafnet,mos2-A_Adatom-Li.png,4,0.015599560923874378,0.03638139711579548,0.0341470372682641,0.8679088002167251,0.10095960387669388
nafnet,mos2-A_Adatom-Li.png,8,0.015165350399911404,0.030674904330119455,0.019964089689572573,0.7899223155494118,0.12140561738504163
nafnet,mos2-A_Adatom-Li.png,12,0.014912944287061691,0.038915146542155374,0.033250958441359085,1.2610987225181158,0.1565346760355094
nafnet,mos2-A_Adatom-Li.png,16,0.014617803506553173,0.03995563363009463,0.03191055928470936,1.1247536423819438,0.14992236569290066
nafnet,mos2-A_Adatom-Li.png,20,0.014484021812677383,0.033221653665316986,0.023233784991128784,1.400511488382299,0.2044309155067268
nafnet,mos2-A_Adatom-Li.png,28,0.01409999281167984,0.031464298564244195,0.032615187116879954,0.7205940187066278,0.17244560055632227
nafnet,mos2-A_Adatom-Li.png,36,0.014381983317434788,0.029287715337212833,0.018959381211160045,0.6989246886585592,0.15753897286390386
nafnet,mose2-A_Doped-Na.png,1,0.0069342548958957195,0.006420966734810371,0.011963535091732378,0.6661709891320866,0.13243731961630445
nafnet,mose2-A_Doped-Na.png,2,0.006910566706210375,0.00658050068007973,0.013319968775065942,0.6913399623467937,0.11565473241548554
nafnet,mose2-A_Doped-Na.png,4,0.006731895264238119,0.007536390514817962,0.012511028908936336,0.7322827176657557,0.09460540921624219
nafnet,mose2-A_Doped-Na.png,8,0.0069274865090847015,0.00931700074560156,0.015971424679667428,0.7002268861367389,0.11247681773360642
nafnet,mose2-A_Doped-Na.png,12,0.006589921191334724,0.007630356615952143,0.011950857594465852,0.640874889096508,0.12556774287263262
nafnet,mose2-A_Doped-Na.png,16,0.006487146019935608,0.09089050805523771,0.030907368546811947,0.8983381990570979,0.12057566460239814
nafnet,mose2-A_Doped-Na.png,20,0.006380313076078892,0.01682768762117086,0.017860778685174338,0.6611770199656721,0.11793481944694144
nafnet,mose2-A_Doped-Na.png,28,0.007172195240855217,0.10342144396915352,0.04002492433831898,0.7800206848020212,0.1036998907962773
nafnet,mose2-A_Doped-Na.png,36,0.006114795338362455,0.10004564773562118,0.04870572828637737,0.8260914973021105,0.14241800728628998
nafnet,mote2-A_Anti-2M.png,1,0.016147075220942497,0.045944761964907474,0.04185453292145825,0.8241123167376511,0.0830987660208975
nafnet,mote2-A_Anti-2M.png,2,0.01624821312725544,0.04807578954027475,0.04233433015734739,0.828535153829772,0.08182653036162767
nafnet,mote2-A_Anti-2M.png,4,0.0160305704921484,0.024680770455998705,0.02945247591277004,1.0898106249911317,0.08273876978709936
nafnet,mote2-A_Anti-2M.png,8,0.01607857458293438,0.031718525156386033,0.033226006757318544,0.7446656722271874,0.10382732893921252
nafnet,mote2-A_Anti-2M.png,12,0.014734020456671715,0.16021549043837388,0.03362490783071585,1.023326493749068,0.12424029204766927
nafnet,mote2-A_Anti-2M.png,16,0.014372681267559528,0.07541569959689812,0.0306905723754234,0.7120059261761144,0.13746057478538687
nafnet,mote2-A_Anti-2M.png,20,0.013817038387060165,0.19871653445980736,0.04601557407830187,1.2202739937778326,0.20080390892662497
nafnet,mote2-A_Anti-2M.png,28,0.015845632180571556,0.20545834259422435,0.024348635580458907,0.8239426407621021,0.08260561121953361
nafnet,mote2-A_Anti-2M.png,36,0.015669407323002815,0.14762994299671964,0.029805540487586296,0.7338722166382243,0.10121987897086496
nafnet,tate2-A_Fe_doped.png,1,0.008334615267813206,0.012206991227224332,0.007432605672746579,0.5635691708869823,0.2152739505497972
nafnet,tate2-A_Fe_doped.png,2,0.008226051926612854,0.011351765999409576,0.006959267894120407,0.586854973087887,0.18577333649901517
nafnet,tate2-A_Fe_doped.png,4,0.00801769271492958,0.06535495033064943,0.014879619045481969,0.6030073611767657,0.15119283497124947
nafnet,tate2-A_Fe_doped.png,8,0.008005748502910137,0.016742806969149607,0.00978679461183523,0.5711198506669962,0.18270902744218898
nafnet,tate2-A_Fe_doped.png,12,0.008547350764274597,0.01778538838290586,0.012312247692269036,0.5383139141855187,0.2561076118710136
nafnet,tate2-A_Fe_doped.png,16,0.007404810283333063,0.05026272149304876,0.04213135790061077,0.4751805303183477,0.4685678243282318
nafnet,tate2-A_Fe_doped.png,20,0.007538474164903164,0.008197207800996916,0.0072146421944229355,0.5204626668388,0.18659772581634543
nafnet,tate2-A_Fe_doped.png,28,0.006911484524607658,0.06621239945176433,0.05520048730778471,0.45679861199333355,0.32748759956162693
nafnet,tate2-A_Fe_doped.png,36,0.006597473286092281,0.02764638422855549,0.02749066978421347,0.6007128297381295,0.1509748990118113
nafnet,vse2-A_Vacancy-Anion-06A.png,1,0.0111501170322299,0.06499248049818449,0.05157436844444522,1.2443695754919553,0.14049934731469296
nafnet,vse2-A_Vacancy-Anion-06A.png,2,0.010683832690119743,0.11134947510100077,0.01104957006168413,0.824866354782975,0.12250443106205702
nafnet,vse2-A_Vacancy-Anion-06A.png,4,0.011364440433681011,0.04092531829611355,0.03290078171790827,1.2420029515171507,0.13912946901371798
nafnet,vse2-A_Vacancy-Anion-06A.png,8,0.010478884913027287,0.06864190830090693,0.04451120664443547,0.8989339453510201,0.11762868402632493
nafnet,vse2-A_Vacancy-Anion-06A.png,12,0.010882332921028137,0.037580106796634205,0.03402179312839723,1.2113783675251002,0.1595049609604498
nafnet,vse2-A_Vacancy-Anion-06A.png,16,0.010413791052997112,0.7256152131973344,0.09421723541589999,1.1161367631652557,0.1603773867285245
nafnet,vse2-A_Vacancy-Anion-06A.png,20,0.0114243533462286,0.051560172646747275,0.04377721418548522,1.2421659055194314,0.14286860404433868
nafnet,vse2-A_Vacancy-Anion-06A.png,28,0.009539125487208366,0.05719329975379467,0.018361496071343453,0.947421104134933,0.1939298981523362
nafnet,vse2-A_Vacancy-Anion-06A.png,36,0.008795267902314663,0.11986728903932298,0.08651685665923245,0.7131476214784833,0.24399335130652441
nafnet,tas2-A_Doped-Li.png,1,0.01010084431618452,0.009806396359104184,0.010072325880611365,0.5144850278898367,0.23702124875932026
nafnet,tas2-A_Doped-Li.png,2,0.00991691555827856,0.008676441505279794,0.011909968014263136,0.8998619821062144,0.08601606373990334
nafnet,tas2-A_Doped-Li.png,4,0.009984496049582958,0.009096025656284213,0.008716529369379439,0.9178094409441931,0.08784192029366414
nafnet,tas2-A_Doped-Li.png,8,0.009660006500780582,0.008314996287724362,0.0070424236102432265,0.7599221038165753,0.07441416926689617
nafnet,tas2-A_Doped-Li.png,12,0.009581726975739002,0.00858749842398445,0.007979909471059917,0.8903057949403623,0.08677238402032689
nafnet,tas2-A_Doped-Li.png,16,0.01009275671094656,0.005692247864974617,0.0100986544705908,0.6127535987236515,0.14772150606029824
nafnet,tas2-A_Doped-Li.png,20,0.008970368653535843,0.008345718007709755,0.008641181164821796,0.4649056014652058,0.26618773239302107
nafnet,tas2-A_Doped-Li.png,28,0.010177969001233578,0.006748044429268826,0.008891976804554284,0.6465346223558237,0.12972688498719626
nafnet,tas2-A_Doped-Li.png,36,0.008257023990154266,0.08191170812154706,0.06884101438670835,0.44966340252671594,0.2657346363771538
nafnet,tase2-A_Vacancy-Anion-12B.png,1,0.007360097020864487,0.006232987866179737,0.013517227900361547,0.733610563898823,0.07259165572833902
nafnet,tase2-A_Vacancy-Anion-12B.png,2,0.007332711946219206,0.008707352878835683,0.014652491090787315,0.7331743778323023,0.07449936437170632
nafnet,tase2-A_Vacancy-Anion-12B.png,4,0.007288746535778046,0.007936690901882173,0.01471571424685294,0.8203207618248168,0.07718966165502962
nafnet,tase2-A_Vacancy-Anion-12B.png,8,0.007293786853551865,0.010216119006324917,0.015300589296773123,0.8103678402501099,0.07705032563055544
nafnet,tase2-A_Vacancy-Anion-12B.png,12,0.0068289292976260185,0.06914099534002903,0.058505153500103074,0.5255573256124856,0.16840569266023264
nafnet,tase2-A_Vacancy-Anion-12B.png,16,0.0072067719884216785,0.013392586458127508,0.01814717186415754,0.7811304188887093,0.07185858356758135
nafnet,tase2-A_Vacancy-Anion-12B.png,20,0.007471414282917976,0.006724100081718473,0.014746589234349444,0.7336014026208364,0.07892636730996942
nafnet,tase2-A_Vacancy-Anion-12B.png,28,0.007272196467965841,0.011614419402061992,0.01731765606215999,0.6778145421320396,0.08454973481376091
nafnet,tase2-A_Vacancy-Anion-12B.png,36,0.007361375726759434,0.015646664295900354,0.0193658669268231,0.6085393732622081,0.12366265923067825
