u_precision,u_recall,u_rmse,n_t,n_p,model,structure,level
0.8484848484848485,0.9655172413793104,0.3333333333333333,29,33,nafnet,vse2-A_Vacancy-Anion-06A.png,16
0.82,1.0,0.4131969352706687,41,50,nafnet,vse2-A_Vacancy-Anion-06A.png,20
0.9230769230769231,0.631578947368421,0.408248290463863,19,13,nafnet,vse2-A_Vacancy-Anion-06A.png,28
0.9166666666666666,0.7419354838709677,0.3692744729379982,31,24,nafnet,vse2-A_Vacancy-Anion-06A.png,36
0.85,1.0,0.24253562503633297,17,20,nafnet,tas2-A_Doped-Li.png,1
0.9210526315789473,1.0,0.3429971702850177,34,38,nafnet,tas2-A_Doped-Li.png,2
0.9615384615384616,1.0,0.28867513459481287,25,26,nafnet,tas2-A_Doped-Li.png,4
0.9354838709677419,1.0,0.8094272134003795,29,31,nafnet,tas2-A_Doped-Li.png,8
0.967741935483871,1.0,0.2626128657194451,30,31,nafnet,tas2-A_Doped-Li.png,12
0.918918918918919,1.0,0.7669649888473704,34,37,nafnet,tas2-A_Doped-Li.png,16
0.9333333333333333,1.0,1.1435437497937313,14,15,nafnet,tas2-A_Doped-Li.png,20
0.9,1.0,0.2721655269759087,28,30,nafnet,tas2-A_Doped-Li.png,28
0.7272727272727273,1.0,1.3165611772087666,15,22,nafnet,tas2-A_Doped-Li.png,36
0.9829059829059829,0.9745762711864406,0.3362193900727166,118,117,nafnet,tase2-A_Vacancy-Anion-12B.png,1
0.9833333333333333,0.9915966386554622,0.34444748191358604,119,120,nafnet,tase2-A_Vacancy-Anion-12B.png,2
0.9824561403508771,0.9912280701754386,0.3779644730092272,114,114,nafnet,tase2-A_Vacancy-Anion-12B.png,4
0.9831932773109243,0.9915254237288136,1.0169503597462535,118,119,nafnet,tase2-A_Vacancy-Anion-12B.png,8
0.95,0.979381443298969,0.6727789971063072,97,100,nafnet,tase2-A_Vacancy-Anion-12B.png,12
0.990990990990991,0.9823008849557522,0.40451991747794525,113,111,nafnet,tase2-A_Vacancy-Anion-12B.png,16
0.9752066115702479,1.0,0.41169348479630913,118,121,nafnet,tase2-A_Vacancy-Anion-12B.png,20
0.9672131147540983,0.9915966386554622,0.3795626385857405,119,122,nafnet,tase2-A_Vacancy-Anion-12B.png,28
0.9754098360655737,0.9916666666666667,0.36667939881128453,120,122,nafnet,tase2-A_Vacancy-Anion-12B.png,36
0.9080459770114943,0.9873417721518988,0.4236592728681617,79,87,nafnet,nbs2_Anti-Metal.png,1
0.9047619047619048,0.987012987012987,0.34874291623145787,77,84,nafnet,nbs2_Anti-Metal.png,2
0.9195402298850575,1.0,0.49041444627368397,80,87,nafnet,nbs2_Anti-Metal.png,4
0.9506172839506173,1.0,0.3804429551263411,76,81,nafnet,nbs2_Anti-Metal.png,8
