psnr,ssim,kl,fft_err,frac_damaged,psnr_dmg,mae_dmg,psnr_undmg,mae_undmg,col_precision,col_recall,col_rmse,n_cols_target,n_cols_pred,defect_sites,defect_preserved_frac,vacancy_preserved_frac,anom_preserved_frac,vacuum_phantom_frac,seg_precision,seg_recall,psnr_missed_dmg,frac_edited,regime,structure,family,op,level
31.333763617956816,0.9234799016847124,0.0069880777129286715,0.08631064119791475,0.03038748424860778,17.321980855235143,0.07151221543775983,37.49596215689771,0.009775222839010856,1.0,1.0,0.4330127018922193,96,96,3,1.0,1.0,,0.0,0.20984688205974109,0.4892567511077669,14.481238486291275,0.07084823787650908,permissive,cose2_Fe_doped.png,cose2,A,1
28.41109851088992,0.75092547137871,0.024432908495759246,0.9376997711331062,0.6890084556742901,28.137166820887547,0.029046070623267656,29.087607002415446,0.0223051237989315,0.9876543209876543,1.0,1.2698425099200294,80,81,2,1.0,,1.0,,0.7935374751706099,0.9747489083628765,30.206853014661714,0.8463497453310697,permissive,cro2_Vacancy-Anion-03.png,cro2,A,1
32.93995115748483,0.8567233078225627,0.010831247739662283,0.08479373331674722,0.07260857265490869,25.348614312076414,0.03442717735779697,34.95579290972983,0.01331778374659579,0.9935483870967742,0.9935483870967742,0.4413674147523748,155,155,2,1.0,1.0,1.0,0.001619353730647496,0.30138595254874323,0.3447418802270514,24.139977019859646,0.08305369127516779,permissive,crse2_Anti-Anion.png,crse2,A,1
34.307417784797096,0.8720036467545192,0.019659014618450415,0.07700695681663111,0.06939631198391306,31.026129517837738,0.02168564431658692,34.689287450016465,0.014166685308836163,1.0,1.0,0.3812464258315117,172,172,1,1.0,1.0,,,0.18614855805563005,0.4707768187422935,30.349657620748737,0.17550592564069653,permissive,crte2_Vacancy-Metal.png,crte2,A,1
35.06535253577815,0.8733937337701856,0.02557408662916818,0.0228335514121795,0.018112633181126332,21.421030465940696,0.055645908984546064,37.345649278401275,0.010205592668541966,1.0,0.9811320754716981,0.45993310550389993,53,52,1,1.0,,1.0,0.0,0.06069694373036275,0.23809523809523808,20.357966827707777,0.07105022831050228,permissive,cus2_Cu_adatom.png,cus2,A,1
34.000263097398495,0.8652085587027514,0.019572702926491152,0.10940787682189894,0.010068053501398479,32.02448112294659,0.018979723095952524,34.02578321871012,0.012982852446449599,0.9672131147540983,1.0,0.6152487898779873,177,183,15,1.0,1.0,,0.0,0.025423060752575152,0.4761318897637795,31.600446748714,0.18855799411871088,permissive,cuse2_Cu_adatom.png,cuse2,A,1
31.474094450495475,0.7913393118624036,0.043813405064780535,1.043951806198361,0.5485978154823471,30.246403038042367,0.023998952661930695,33.67114832405251,0.016427725443337385,1.0,1.0,0.7622867446578624,74,74,4,1.0,1.0,1.0,,0.6398668428279061,0.9908004786960214,30.781688594390136,0.8494751435927906,permissive,feo2_Int-Anion.png,feo2,A,1
37.45411978393354,0.9337068091663066,0.0038871313477293226,0.020297705305907066,0.009781078588418039,24.139804383992175,0.04694745834862394,38.43409576145367,0.00876550821267235,0.9836065573770492,1.0,0.28867513459481287,60,61,1,1.0,,1.0,0.0,0.0,0.0,24.139804420406396,0.0,tight,fes2_Ni_doped.png,fes2,A,1
30.830446340576522,0.8148615749764448,0.019568042205323096,0.6018576365702017,0.32198452435138825,29.169120524064695,0.024762315616869188,31.91673188944379,0.016327456199435774,0.9797979797979798,1.0,0.7107423155935333,97,99,37,1.0,1.0,,0.0,0.5345656721729846,0.9672745264348318,28.394671610453237,0.5826177110200779,permissive,ges2_Vacancy-Anion-03.png,ges2,A,1
31.786526902497435,0.9382715319037938,0.0076387620094964396,0.020879284826978907,0.03014036061026352,17.789753661645562,0.07461555659092942,37.78914924828851,0.00939081598619444,1.0,0.9921259842519685,0.2672612419124244,127,126,8,1.0,1.0,1.0,0.0,0.043279003585024206,0.08621705198056251,19.835656465207123,0.06004327323162274,permissive,gete2_Defect-Free.png,gete2,A,1
