family,level,psnr_med,ssim_med,kl_med,psnr_q25,ssim_q25,kl_q25,psnr_q75,ssim_q75,kl_q75,n
ges2,20,21.2846,0.7207,0.0576,19.1192,0.6884,0.0493,26.9497,0.7521,0.0665,9
ges2,28,18.5407,0.6619,0.1158,17.2746,0.6351,0.0816,19.8186,0.6875,0.2114,9
ges2,36,17.9565,0.6437,0.1447,16.6519,0.6124,0.1223,18.3116,0.6849,0.2542,9
gete2,1,32.8681,0.9261,0.0035,32.4985,0.9159,0.003,36.4512,0.9337,0.0057,9
gete2,2,32.0157,0.9241,0.0047,31.8189,0.9091,0.004,32.4159,0.9326,0.0054,9
gete2,4,28.6041,0.9153,0.0081,27.3002,0.8971,0.0061,30.3006,0.9214,0.0087,9
gete2,8,25.6655,0.9031,0.0143,25.2151,0.8899,0.0091,30.6236,0.9092,0.0199,9
gete2,12,24.2983,0.8773,0.0455,23.7661,0.8748,0.0227,25.6284,0.8882,0.0798,9
gete2,16,21.8367,0.8495,0.0542,21.1487,0.7951,0.0269,22.3845,0.8681,0.0713,9
gete2,20,21.1326,0.8388,0.0579,20.5388,0.7896,0.045,22.3004,0.8588,0.0965,9
gete2,28,19.3884,0.803,0.098,18.0563,0.6897,0.0832,19.859,0.8118,0.1863,9
gete2,36,19.0402,0.7954,0.1179,18.8093,0.7751,0.0594,29.6531,0.8684,0.1605,9
hfo2,1,35.4351,0.9206,0.005,31.9727,0.9062,0.0029,36.5112,0.934,0.008,21
hfo2,2,29.6798,0.9142,0.0061,28.0597,0.8982,0.0051,31.7013,0.927,0.0102,21
hfo2,4,27.8468,0.908,0.0123,26.0662,0.8908,0.0082,30.2273,0.9181,0.0203,21
hfo2,8,25.3615,0.8975,0.0146,23.5787,0.8709,0.0096,28.3148,0.9096,0.0364,21
hfo2,12,23.6783,0.8797,0.0303,22.1992,0.8535,0.0149,25.5918,0.8972,0.055,21
hfo2,16,21.5495,0.8432,0.0503,20.7192,0.834,0.0358,23.463,0.8686,0.0765,21
hfo2,20,20.7687,0.8308,0.0712,19.7417,0.8059,0.0368,22.2465,0.8429,0.1211,21
hfo2,28,18.9828,0.7902,0.1091,18.5768,0.7678,0.0765,20.9103,0.8098,0.2401,21
hfo2,36,18.1747,0.7575,0.1504,17.2569,0.7429,0.1006,20.7148,0.7919,0.2249,21
irte2,1,33.8684,0.8991,0.0051,33.4146,0.8972,0.0035,34.8522,0.9051,0.0052,9
irte2,2,29.4016,0.8921,0.0055,27.5221,0.8884,0.0048,30.965,0.9013,0.0092,9
irte2,4,27.7258,0.8868,0.0074,27.0948,0.8777,0.0062,33.0285,0.8973,0.0117,9
irte2,8,25.4527,0.8879,0.0073,24.9711,0.8631,0.0059,32.9226,0.8974,0.0256,9
irte2,12,23.3773,0.8581,0.0296,22.8294,0.8466,0.0172,25.4488,0.886,0.0464,9
irte2,16,22.7642,0.8683,0.0169,21.6728,0.8325,0.0042,34.5996,0.8966,0.0455,9
irte2,20,21.0292,0.8268,0.0432,20.886,0.8099,0.0277,26.0951,0.8692,0.0693,9
irte2,28,20.7602,0.8082,0.0721,19.0508,0.785,0.0446,21.4546,0.8263,0.0884,9
irte2,36,19.932,0.7903,0.0852,17.6197,0.7595,0.0212,26.6849,0.8757,0.1214,9
mno2,1,29.1014,0.6867,0.0276,28.5324,0.6772,0.0216,29.4235,0.6906,0.0374,12
mno2,2,25.9816,0.6796,0.0286,24.5876,0.667,0.0192,28.1322,0.6908,0.0404,12
mno2,4,23.9518,0.6661,0.0396,22.1705,0.646,0.0354,25.5117,0.6827,0.044,12
mno2,8,22.0965,0.648,0.0494,20.3088,0.6385,0.0401,23.7863,0.6743,0.0607,12
mno2,12,21.2575,0.6489,0.0432,20.6059,0.6246,0.0368,24.1931,0.6759,0.0582,12
mno2,16,19.9038,0.626,0.0588,18.4279,0.6007,0.0293,21.0582,0.6559,0.0898,12
mno2,20,19.3719,0.6137,0.0832,17.3011,0.5791,0.0615,19.9551,0.6344,0.1343,12
mno2,28,18.7451,0.5931,0.1303,16.8372,0.5668,0.0556,21.5972,0.6438,0.1651,12
mno2,36,17.1264,0.5833,0.1951,15.9083,0.5299,0.0488,22.8049,0.6628,0.3744,12
mns2,1,28.6374,0.7386,0.0416,27.7388,0.7239,0.0363,29.102,0.7473,0.0437,15
mns2,2,27.4043,0.7354,0.0423,26.8131,0.7211,0.0393,28.9668,0.7489,0.0445,15
mns2,4,24.4219,0.7274,0.0452,23.0146,0.708,0.0415,25.7377,0.7376,0.0554,15
mns2,8,22.7527,0.7067,0.0522,20.7356,0.6958,0.047,24.143,0.7221,0.0604,15
mns2,12,21.1389,0.6997,0.0598,20.2305,0.6841,0.0471,23.9979,0.721,0.0722,15
mns2,16,19.7498,0.6823,0.0657,19.1879,0.6642,0.0554,21.8813,0.7014,0.091,15
mns2,20,18.5497,0.6719,0.0833,18.2179,0.644,0.0648,20.4677,0.6845,0.1245,15
mns2,28,16.8737,0.6361,0.1368,14.3235,0.5611,0.1064,17.7593,0.6537,0.2151,15
mns2,36,16.0547,0.6095,0.154,14.9481,0.5767,0.1325,18.1244,0.6342,0.2035,15
mnse2,1,29.962,0.8367,0.0078,28.7289,0.7626,0.0035,33.6164,0.9069,0.0209,18
mnse2,2,29.7929,0.8217,0.0097,26.5909,0.7498,0.0069,31.9667,0.9024,0.0143,18
mnse2,4,28.2924,0.8133,0.0131,25.1195,0.758,0.0065,30.7139,0.8971,0.0204,18
mnse2,8,23.1517,0.783,0.0248,21.2435,0.7174,0.0093,24.5622,0.8702,0.0443,18
mnse2,12,22.0174,0.7683,0.0368,19.7689,0.7005,0.0167,25.0377,0.8709,0.0628,18
mnse2,16,19.8898,0.7433,0.0792,18.3783,0.6826,0.0458,22.0882,0.8276,0.1243,18
mnse2,20,20.6147,0.7617,0.0856,18.0272,0.6866,0.0367,23.4175,0.8219,0.1138,18
mnse2,28,17.663,0.6878,0.1371,16.2361,0.6345,0.1009,19.6641,0.7734,0.209,18
mnse2,36,16.3641,0.6486,0.1752,15.2243,0.6099,0.1302,18.3005,0.7522,0.2675,18
mnte2,1,35.3549,0.9434,0.0029,32.8903,0.9413,0.0026,35.552,0.9565,0.0047,9
mnte2,2,32.4931,0.9409,0.0024,31.8753,0.9393,0.0022,35.7047,0.9548,0.0029,9
mnte2,4,32.0237,0.9385,0.0046,29.7426,0.9344,0.0043,33.6366,0.9499,0.0056,9
mnte2,8,26.5814,0.9173,0.0138,25.8449,0.9118,0.0114,28.3021,0.9334,0.036,9
mnte2,12,23.8921,0.8907,0.0327,22.8251,0.8832,0.0142,24.1895,0.9002,0.135,9
mnte2,16,23.2959,0.8752,0.0553,22.1233,0.867,0.0435,23.9915,0.8759,0.1346,9
mnte2,20,21.7026,0.8571,0.0688,21.081,0.8513,0.0426,22.5269,0.8578,0.138,9
mnte2,28,19.8188,0.8268,0.1,19.3857,0.8186,0.0653,22.0861,0.8303,0.1895,9
mnte2,36,18.8478,0.785,0.1177,18.432,0.778,0.1094,21.1612,0.8154,0.1971,9
mos2,1,31.0874,0.812,0.0147,29.5394,0.792,0.0079,32.8511,0.8416,0.0209,108
