family,level,psnr_med,ssim_med,kl_med,psnr_q25,ssim_q25,kl_q25,psnr_q75,ssim_q75,kl_q75,n
snse2,16,22.5308,0.8516,0.0319,21.6543,0.8309,0.0192,25.0078,0.8629,0.0643,27
snse2,20,21.5719,0.8335,0.0437,20.6323,0.8138,0.0287,23.7202,0.8559,0.0696,27
snse2,28,19.9765,0.8033,0.0726,19.0029,0.7792,0.052,21.6921,0.8191,0.1096,27
snse2,36,20.0388,0.7864,0.0958,18.1427,0.7611,0.0662,21.9058,0.8172,0.1489,27
snte2,1,31.1178,0.8542,0.0108,28.3782,0.8332,0.0077,32.8467,0.8787,0.0162,27
snte2,2,29.0883,0.8578,0.0124,26.1235,0.8283,0.0081,31.4279,0.8751,0.0268,27
snte2,4,28.9454,0.8551,0.0124,25.4039,0.8256,0.0097,30.4264,0.8657,0.0211,27
snte2,8,25.1899,0.8417,0.0212,21.9915,0.8033,0.015,26.105,0.8553,0.0536,27
snte2,12,22.5532,0.8242,0.0283,20.4375,0.7737,0.0167,24.1727,0.8413,0.0874,27
snte2,16,21.5513,0.804,0.0395,19.1075,0.7477,0.0248,22.7631,0.8276,0.1043,27
snte2,20,21.1157,0.8016,0.0616,18.7718,0.7567,0.0281,21.8366,0.8109,0.1271,27
snte2,28,18.9422,0.7793,0.088,17.2979,0.7079,0.0392,21.2669,0.7912,0.1651,27
snte2,36,18.2757,0.7419,0.1121,17.0298,0.683,0.0684,19.9054,0.7728,0.3295,27
tas2,1,35.2769,0.913,0.0049,31.8573,0.899,0.0036,36.4862,0.921,0.0062,102
tas2,2,29.5698,0.904,0.0071,28.1251,0.8906,0.0053,32.3086,0.9171,0.0108,102
tas2,4,27.2099,0.8929,0.0119,25.2704,0.8812,0.0073,30.7008,0.9112,0.0183,102
tas2,8,25.7964,0.8832,0.0166,24.0206,0.8636,0.0087,28.4425,0.9027,0.0329,102
tas2,12,23.4514,0.8577,0.0304,21.9537,0.8352,0.0178,25.5058,0.8808,0.0787,102
tas2,16,22.0464,0.8373,0.0514,20.3261,0.8067,0.0288,23.8535,0.8574,0.1257,102
tas2,20,20.6228,0.8178,0.0661,19.6382,0.7877,0.034,22.6593,0.8428,0.1481,102
tas2,28,19.7705,0.789,0.1077,18.477,0.7603,0.0679,21.5588,0.8167,0.1734,102
tas2,36,19.2289,0.7678,0.13,17.6803,0.7376,0.0884,21.2749,0.7996,0.2113,102
tase2,1,33.7212,0.9048,0.0042,31.3981,0.8938,0.0033,35.2146,0.9214,0.0061,102
tase2,2,30.0653,0.8998,0.0057,28.1721,0.8861,0.004,32.3657,0.917,0.0103,102
tase2,4,26.9751,0.8884,0.0095,25.0361,0.8695,0.0061,29.493,0.908,0.0168,102
tase2,8,25.3538,0.8794,0.0133,23.873,0.8552,0.0082,27.9739,0.8941,0.0375,102
tase2,12,23.2178,0.8567,0.0266,21.3415,0.8317,0.0147,25.6593,0.8786,0.0722,102
tase2,16,21.8412,0.8329,0.0528,19.5585,0.8068,0.0278,23.5682,0.8621,0.0931,102
tase2,20,20.4593,0.8113,0.0685,19.1346,0.7852,0.0422,22.7282,0.8383,0.1268,102
tase2,28,19.2132,0.7809,0.0984,17.9698,0.7547,0.0647,21.441,0.8083,0.1466,102
tase2,36,18.5828,0.7564,0.1252,16.9296,0.7209,0.0778,20.1767,0.7882,0.1806,102
tate2,1,34.0166,0.9336,0.0029,32.7818,0.8992,0.0021,35.9247,0.9478,0.0046,105
tate2,2,31.6248,0.931,0.0037,29.7787,0.8978,0.0023,33.4062,0.9426,0.0055,105
tate2,4,28.6711,0.913,0.0066,26.7329,0.8903,0.0038,31.3702,0.9368,0.0119,105
tate2,8,25.7244,0.8966,0.0101,23.277,0.8729,0.0062,28.485,0.9219,0.0262,105
tate2,12,23.6077,0.8738,0.0221,21.3634,0.8402,0.0134,25.0665,0.8991,0.0561,105
tate2,16,22.3053,0.8613,0.032,20.5709,0.8201,0.0194,24.1076,0.8881,0.0777,105
tate2,20,21.064,0.8425,0.0389,19.244,0.8045,0.0225,23.285,0.8773,0.092,105
tate2,28,19.8541,0.811,0.0687,18.0659,0.7674,0.0425,21.6615,0.8452,0.1146,105
tate2,36,18.3203,0.7796,0.1042,15.8376,0.7109,0.0657,21.0517,0.8151,0.2257,105
tis2,1,29.3011,0.7382,0.0287,28.4144,0.7183,0.0204,30.4995,0.7763,0.0397,54
tis2,2,28.5404,0.7323,0.031,27.1326,0.7169,0.0229,30.3745,0.7743,0.039,54
tis2,4,26.5417,0.7288,0.0387,25.3741,0.7024,0.0226,29.0627,0.7648,0.0449,54
tis2,8,23.6554,0.7075,0.0403,22.5598,0.6902,0.0306,26.2596,0.7567,0.057,54
tis2,12,22.7363,0.7028,0.0482,21.391,0.676,0.0336,25.2359,0.7437,0.078,54
tis2,16,20.9411,0.6895,0.0689,20.2794,0.6554,0.0499,23.6226,0.7413,0.1122,54
tis2,20,20.5322,0.6778,0.0911,19.4348,0.6401,0.0524,23.0506,0.7162,0.1486,54
tis2,28,19.2594,0.6472,0.1335,18.2299,0.6174,0.0989,21.084,0.6909,0.1726,54
tis2,36,17.9939,0.6094,0.1759,17.0958,0.581,0.1346,19.829,0.6666,0.2218,54
tise2,1,29.6075,0.761,0.0211,28.2229,0.7399,0.0135,30.5758,0.7957,0.0303,54
tise2,2,28.736,0.7587,0.0176,27.134,0.7408,0.0125,30.3064,0.7937,0.0243,54
tise2,4,26.081,0.746,0.0226,24.2313,0.7323,0.0148,28.7091,0.7877,0.0383,54
tise2,8,23.4639,0.7333,0.0332,21.5188,0.7132,0.0198,25.2056,0.7716,0.0508,54
tise2,12,21.7641,0.7173,0.0441,19.9648,0.6966,0.0289,23.8401,0.7588,0.0666,54
tise2,16,20.7299,0.7115,0.0582,19.051,0.6832,0.0393,22.2374,0.753,0.0965,54
tise2,20,19.8622,0.7004,0.0705,18.1414,0.6625,0.0452,21.6983,0.7413,0.1126,54
tise2,28,18.5316,0.6668,0.1306,16.8378,0.6369,0.0801,20.232,0.7113,0.1808,54
tise2,36,18.0305,0.6547,0.1498,16.0411,0.6237,0.0988,19.1596,0.694,0.1958,54
tite2,1,36.8934,0.9445,0.0031,32.7777,0.9395,0.0024,38.7352,0.9513,0.0049,63
tite2,2,33.4706,0.9415,0.004,31.6097,0.9338,0.0026,36.8686,0.9497,0.0086,63
tite2,4,29.7088,0.9334,0.0085,27.9496,0.9106,0.004,32.4331,0.9435,0.0227,63
tite2,8,26.2083,0.91,0.0147,24.3622,0.8723,0.01,28.1132,0.9242,0.0569,63
tite2,12,24.3041,0.8886,0.0361,22.0947,0.8388,0.0172,26.2191,0.9046,0.0984,63
tite2,16,23.3195,0.8732,0.0507,21.939,0.8265,0.0274,24.7158,0.8949,0.1057,63
tite2,20,22.3341,0.8507,0.0859,20.927,0.8207,0.0452,23.9622,0.867,0.1537,63
tite2,28,21.1341,0.8318,0.0997,20.1327,0.7749,0.062,23.3086,0.8545,0.1945,63
tite2,36,20.0791,0.8017,0.1208,18.5854,0.7551,0.0773,22.4047,0.8349,0.1967,63
vo2,1,26.9781,0.6176,0.096,26.4038,0.5968,0.0895,27.3448,0.6508,0.1012,9
vo2,2,24.6666,0.6155,0.091,24.607,0.5992,0.0869,25.2756,0.6433,0.0922,9
vo2,4,23.3693,0.6078,0.0935,22.7782,0.5924,0.0856,23.9761,0.6362,0.103,9
vo2,8,21.7306,0.602,0.0985,21.2431,0.5857,0.0935,22.0862,0.6319,0.1075,9
vo2,12,19.7579,0.5945,0.1008,19.4476,0.5691,0.0912,20.2156,0.6131,0.1102,9
vo2,16,18.6683,0.5771,0.122,18.0842,0.5646,0.1039,18.8797,0.6027,0.1248,9
vo2,20,17.3728,0.5594,0.1444,17.0874,0.5398,0.1284,17.8274,0.5675,0.1913,9
vo2,28,16.013,0.5432,0.183,15.7565,0.5207,0.1761,16.1539,0.5593,0.1849,9
vo2,36,14.9836,0.5241,0.2003,14.7871,0.4846,0.1955,15.0394,0.5331,0.2855,9
vs2,1,28.7008,0.6506,0.0437,26.962,0.5894,0.0235,30.5924,0.7001,0.103,51
vs2,2,27.3088,0.6429,0.0501,25.6912,0.5858,0.0284,29.3251,0.6952,0.1066,51
vs2,4,25.5088,0.6338,0.0476,23.7417,0.5783,0.0269,28.2586,0.6884,0.1043,51
vs2,8,23.8774,0.6101,0.0764,21.706,0.5645,0.0375,26.8855,0.6802,0.1297,51
vs2,12,22.4775,0.6085,0.0889,20.218,0.5502,0.0493,26.5565,0.6635,0.1294,51
vs2,16,21.359,0.6021,0.1017,19.2931,0.5431,0.059,23.4375,0.6536,0.1492,51
vs2,20,20.6356,0.6043,0.1004,18.5897,0.5382,0.0645,26.3025,0.6487,0.174,51
vs2,28,18.9269,0.5543,0.1701,16.9641,0.5072,0.1043,21.6802,0.6234,0.2585,51
vs2,36,18.9831,0.5457,0.1986,16.2798,0.486,0.1385,21.7191,0.6044,0.2815,51
vse2,1,31.0503,0.8799,0.0072,29.5078,0.7522,0.005,34.5517,0.8989,0.0141,108
vse2,2,30.2261,0.8721,0.0086,28.647,0.752,0.0054,32.9012,0.8967,0.0156,108
vse2,4,27.9484,0.8499,0.0153,25.2868,0.7476,0.0084,30.3558,0.8881,0.0229,108
vse2,8,24.6307,0.8225,0.0224,21.7419,0.7444,0.0128,26.9944,0.8694,0.0524,108
vse2,12,23.0719,0.7996,0.0359,21.0125,0.7321,0.022,25.1407,0.8516,0.0626,108
vse2,16,21.9395,0.7766,0.0498,19.1837,0.7161,0.0268,25.0195,0.8458,0.1037,108
vse2,20,20.6241,0.7534,0.0718,18.3361,0.7071,0.0463,23.7741,0.8079,0.1357,108
vse2,28,19.2191,0.7225,0.1062,17.2244,0.668,0.0662,21.9927,0.7813,0.1817,108
vse2,36,18.2627,0.7016,0.1358,16.393,0.6319,0.0902,20.9149,0.7558,0.2647,108
vte2,1,31.8059,0.8596,0.0076,29.1643,0.8517,0.0051,33.9815,0.8795,0.011,48
vte2,2,30.6059,0.857,0.0078,27.7616,0.846,0.0046,31.6406,0.8748,0.0119,48
vte2,4,28.9692,0.8584,0.0095,26.375,0.8368,0.0076,31.2572,0.8679,0.0136,48
vte2,8,24.5704,0.8359,0.0168,22.1463,0.8064,0.011,26.1245,0.8493,0.0366,48
vte2,12,22.6768,0.8229,0.0308,21.167,0.7831,0.0189,24.699,0.8479,0.0737,48
vte2,16,21.1498,0.8036,0.0415,19.4441,0.7533,0.026,22.5946,0.8251,0.1032,48
vte2,20,20.1029,0.7867,0.0638,18.7416,0.7497,0.0392,23.2113,0.8244,0.1231,48
vte2,28,18.9746,0.746,0.1013,16.9936,0.6862,0.0584,20.9666,0.7926,0.1967,48
vte2,36,17.7352,0.7348,0.1027,16.4432,0.6709,0.063,21.2961,0.7965,0.2055,48
ws2,1,34.6796,0.9028,0.0052,29.5841,0.8953,0.0036,35.3781,0.9184,0.0075,66
ws2,2,28.6563,0.8991,0.0058,28.2082,0.8903,0.0042,34.3508,0.9162,0.01,66
ws2,4,26.1313,0.8877,0.009,24.5067,0.8753,0.0064,28.5252,0.903,0.0187,66
ws2,8,24.8508,0.8733,0.0143,23.3395,0.8601,0.0101,26.7685,0.8961,0.0316,66
ws2,12,22.4625,0.851,0.0301,21.6611,0.83,0.0185,25.2569,0.885,0.0701,66
ws2,16,20.9213,0.826,0.04,19.8471,0.8071,0.0225,23.0515,0.8592,0.0726,66
ws2,20,20.424,0.8171,0.0448,19.5837,0.7924,0.0312,22.8457,0.8456,0.0793,66
ws2,28,18.9614,0.7789,0.0914,18.0905,0.7574,0.0646,20.5758,0.8062,0.1188,66
ws2,36,18.0657,0.7567,0.1162,17.3859,0.7225,0.0884,20.1461,0.7889,0.1673,66
ws2-C,1,35.1562,0.9108,0.0052,30.234,0.893,0.004,36.5219,0.9414,0.0071,33
ws2-C,2,32.0547,0.9017,0.0064,28.2268,0.8895,0.0038,34.4373,0.9353,0.0148,33
ws2-C,4,27.5486,0.8958,0.0109,24.9689,0.8777,0.0072,32.2156,0.9199,0.0326,33
ws2-C,8,26.5105,0.8854,0.0104,23.7821,0.8666,0.0076,34.6098,0.9174,0.0443,33
ws2-C,12,22.9547,0.848,0.0294,21.2129,0.8256,0.018,27.2721,0.8956,0.0921,33
ws2-C,16,21.8495,0.8422,0.0376,20.1565,0.8155,0.0219,26.5237,0.8858,0.0917,33
ws2-C,20,21.1665,0.824,0.0708,19.5486,0.8002,0.0477,24.572,0.8551,0.1336,33
ws2-C,28,19.602,0.7861,0.1101,18.5965,0.7379,0.0518,23.6102,0.8463,0.2238,33
ws2-C,36,20.0403,0.7706,0.1308,17.9025,0.7434,0.0889,23.4724,0.8024,0.3142,33
wse2,1,33.9511,0.887,0.0041,31.5553,0.8762,0.0024,35.6092,0.9024,0.006,33
wse2,2,29.9111,0.881,0.0059,28.2887,0.8689,0.0041,31.3484,0.8967,0.0133,33
wse2,4,27.1918,0.8684,0.0078,25.1583,0.8576,0.0054,28.7176,0.8895,0.0185,33
wse2,8,24.5263,0.8526,0.0227,23.6219,0.8391,0.0105,26.0485,0.866,0.0337,33
wse2,12,22.6359,0.8225,0.0568,21.2262,0.8067,0.0319,24.4205,0.8514,0.0873,33
wse2,16,21.1444,0.8036,0.0697,19.947,0.7882,0.0354,22.6748,0.8359,0.1406,33
wse2,20,20.3086,0.7861,0.084,19.0595,0.7647,0.0573,21.8467,0.8093,0.15,33
wse2,28,19.3319,0.7627,0.131,18.0298,0.7409,0.0857,20.5479,0.7844,0.2204,33
wse2,36,18.086,0.7226,0.1651,16.7855,0.6939,0.1121,19.1038,0.7525,0.2873,33
wte2,1,32.9131,0.94,0.0036,31.1142,0.9328,0.0028,34.608,0.9472,0.0065,33
wte2,2,31.1177,0.9353,0.0045,28.1259,0.9311,0.0028,32.6248,0.944,0.0091,33
wte2,4,28.6387,0.9314,0.0076,26.9896,0.9165,0.0057,30.1202,0.9392,0.0154,33
wte2,8,24.7908,0.9106,0.0154,23.5966,0.8904,0.0116,26.559,0.9187,0.041,33
wte2,12,23.5953,0.8917,0.0385,21.7273,0.8553,0.0165,24.5633,0.9059,0.0852,33
wte2,16,22.013,0.8613,0.0617,18.4967,0.8231,0.0368,22.9869,0.8762,0.1368,33
wte2,20,20.9385,0.8437,0.0745,19.4661,0.8211,0.0363,22.5212,0.87,0.1249,33
wte2,28,19.433,0.8148,0.0699,18.4023,0.7713,0.0451,20.996,0.8445,0.1834,33
wte2,36,18.8926,0.7961,0.1086,17.0816,0.7661,0.0842,19.9825,0.8196,0.2056,33
zro2,1,32.5567,0.8274,0.0201,31.7791,0.8057,0.0055,34.0888,0.872,0.0239,9
zro2,2,27.7397,0.8186,0.0241,27.6747,0.7978,0.0037,30.7365,0.8658,0.0285,9
zro2,4,26.8375,0.8143,0.022,25.0451,0.7958,0.0108,27.3194,0.849,0.0273,9
zro2,8,24.8053,0.7906,0.032,23.6288,0.7775,0.0205,25.0846,0.8301,0.0409,9
zro2,12,23.4617,0.7934,0.0269,22.4693,0.7769,0.0209,27.3268,0.8166,0.0323,9
zro2,16,23.8944,0.795,0.027,20.8884,0.7699,0.0185,31.645,0.8277,0.0454,9
zro2,20,20.2196,0.7521,0.077,19.8048,0.7264,0.0543,20.7564,0.7859,0.1191,9
zro2,28,18.908,0.7016,0.1079,18.8722,0.6972,0.0674,21.9535,0.7681,0.1404,9
zro2,36,18.1609,0.6845,0.1483,17.8689,0.6735,0.0992,19.4233,0.7149,0.1814,9
zrs2,1,32.0299,0.8257,0.0176,31.0304,0.822,0.0106,32.4132,0.8294,0.0204,18
zrs2,2,29.6189,0.8225,0.0171,26.541,0.812,0.0136,32.1282,0.8278,0.0206,18
zrs2,4,26.6543,0.8088,0.0194,25.2931,0.8034,0.0155,28.4664,0.8212,0.0227,18
zrs2,8,25.5527,0.8007,0.0221,23.7758,0.78,0.0188,29.2764,0.8215,0.0409,18
zrs2,12,24.1692,0.7936,0.037,21.8299,0.7619,0.0227,26.5216,0.8113,0.0532,18
zrs2,16,22.6933,0.7858,0.0235,21.904,0.7593,0.0176,30.3263,0.8216,0.05,18
zrs2,20,22.2445,0.7571,0.073,20.4643,0.7399,0.0258,28.006,0.8054,0.0894,18
zrs2,28,19.1748,0.7172,0.089,16.9491,0.6685,0.0681,20.3897,0.7423,0.1757,18
zrs2,36,18.4884,0.713,0.1148,15.1493,0.5973,0.0809,19.9167,0.7401,0.304,18
zrse2,1,30.4653,0.8056,0.0172,29.2797,0.7638,0.0109,30.7582,0.811,0.026,9
zrse2,2,27.8967,0.7912,0.0221,25.1925,0.761,0.0201,29.285,0.8091,0.0266,9
zrse2,4,26.8033,0.7969,0.0246,24.7943,0.7504,0.0148,29.0702,0.8078,0.0298,9
zrse2,8,22.5104,0.7717,0.0316,19.806,0.7369,0.0194,24.9777,0.8062,0.0596,9
zrse2,12,22.3672,0.7653,0.0318,20.7527,0.7258,0.0215,24.4119,0.8009,0.0348,9
zrse2,16,21.0117,0.7521,0.0654,19.769,0.7267,0.0303,22.6948,0.7684,0.1079,9
zrse2,20,19.1117,0.7582,0.0601,18.594,0.6988,0.0414,22.111,0.7722,0.0668,9
zrse2,28,17.2175,0.7141,0.0849,16.5189,0.6626,0.0414,19.5948,0.7471,0.1615,9
zrse2,36,17.6344,0.6739,0.1295,17.0737,0.6524,0.0714,19.0559,0.7426,0.1483,9
zrte2,1,35.9025,0.9435,0.0034,35.0683,0.9429,0.0025,36.7366,0.944,0.0043,2
zrte2,2,33.4465,0.9399,0.0024,33.346,0.9372,0.0022,33.547,0.9425,0.0025,2
zrte2,4,29.3534,0.9341,0.0041,29.2302,0.932,0.0034,29.4766,0.9362,0.0047,2
zrte2,8,27.2652,0.9251,0.006,27.2061,0.9245,0.0055,27.3242,0.9257,0.0064,2
zrte2,12,24.4826,0.9091,0.0096,24.1846,0.9083,0.0094,24.7806,0.91,0.0097,2
zrte2,16,23.6204,0.8899,0.016,22.9948,0.8851,0.0148,24.246,0.8946,0.0173,2
zrte2,20,24.1213,0.8838,0.0207,22.8572,0.8778,0.0192,25.3855,0.8898,0.0222,2
zrte2,28,20.1727,0.8181,0.0821,20.1727,0.8181,0.0821,20.1727,0.8181,0.0821,1
zrte2,36,21.209,0.8484,0.0342,21.209,0.8484,0.0342,21.209,0.8484,0.0342,1
