structure,family,op,level,psnr,ssim,kl,split
vs2_Defect-Free.png,vs2,B,4,20.763781563212905,0.5176542025965378,0.15248548188503594,train
vs2_Mo_adatom.png,vs2,B,4,36.72710063906362,0.9040461198937975,0.00562587767112165,train
vs2_Nb_adatom.png,vs2,B,4,34.82887944279269,0.8857143089366906,0.010527466956573441,train
vs2_V_adatom.png,vs2,B,4,32.137671623689585,0.8288572671526663,0.021010896649247577,test
vs2_Vacancy-Anion-03.png,vs2,B,4,26.466544157025396,0.6648099463374871,0.036291910690783,train
vs2_Vacancy-Anion-06A.png,vs2,B,4,30.52912753235841,0.6870753066832272,0.04077330024552582,val
vs2_Vacancy-Anion-06B.png,vs2,B,4,24.611977308396042,0.6541363712462227,0.043701795981209324,train
vs2_Vacancy-Anion-09A.png,vs2,B,4,30.760379486638712,0.6899083523664539,0.03844007289701179,train
vs2_Vacancy-Anion-09B.png,vs2,B,4,26.817354367894918,0.5525819990139574,0.1055616475445582,train
vs2_Vacancy-Anion-12A.png,vs2,B,4,24.111003493604805,0.5451161251782489,0.11711523684627129,val
vs2_Vacancy-Anion-12B.png,vs2,B,4,23.03381024794371,0.5875234208267311,0.09599623965908116,train
vs2_Vacancy-Metal.png,vs2,B,4,23.159741186678453,0.5892975880016138,0.006999144808166386,train
vse2-A_Adatom-Li.png,vse2,B,4,28.224261643263468,0.891130132964051,0.011345675592743307,train
vse2-A_Adatom-Na.png,vse2,B,4,35.29802022582038,0.911097594698868,0.008690060844869216,train
vse2-A_Anti-2M.png,vse2,B,4,29.062189665272655,0.896028930862708,0.005858466804068594,train
vse2-A_Anti-Anion.png,vse2,B,4,28.61127080384193,0.8946858023647357,0.00799976601599745,test
vse2-A_Anti-Metal.png,vse2,B,4,26.82167688638302,0.8565781315835326,0.16142970547213045,train
vse2-A_Defect-Free.png,vse2,B,4,24.621061764470397,0.88637240004957,0.02145120091259866,test
vse2-A_Mo_adatom.png,vse2,B,4,27.63543468477573,0.8902748031368899,0.02279515643789102,test
vse2-A_Nb_adatom.png,vse2,B,4,30.388838076031924,0.9013995677652047,0.010726728896973643,train
