structure,op,level,family,h,w,mean,std,min,max,frac_sat
cose2_Defect-Free.png,A,0,cose2,674,584,55.38288116455078,51.39656448364258,0.0,255.0,5.081094264460794e-06
cose2_Fe_adatom.png,A,0,cose2,674,584,51.088897705078125,41.311187744140625,0.0,255.0,2.540547132230397e-06
cose2_Fe_doped.png,A,0,cose2,674,584,47.25608825683594,44.75033950805664,0.0,255.0,2.540547132230397e-06
cose2_Ni_adatom.png,A,0,cose2,674,584,49.4525032043457,40.83293533325195,0.0,255.0,2.540547132230397e-06
cose2_Ni_doped.png,A,0,cose2,674,584,40.581722259521484,34.81747055053711,0.0,255.0,5.081094264460794e-06
cose2_Vacancy-Anion-03.png,A,0,cose2,674,584,35.58028030395508,34.469886779785156,0.0,255.0,2.540547132230397e-06
cose2_Vacancy-Anion-06A.png,A,0,cose2,674,584,50.80208206176758,43.79624557495117,0.0,255.0,2.540547132230397e-06
cose2_Vacancy-Anion-06B.png,A,0,cose2,674,584,50.21535873413086,44.6905632019043,0.0,255.0,2.540547132230397e-06
cose2_Vacancy-Anion-09A.png,A,0,cose2,674,584,48.283321380615234,42.14637756347656,0.0,255.0,2.540547132230397e-06
cose2_Vacancy-Anion-09B.png,A,0,cose2,674,584,48.58364486694336,45.52878952026367,0.0,255.0,2.540547132230397e-06
cose2_Vacancy-Metal.png,A,0,cose2,674,584,50.76744842529297,49.31546401977539,0.0,255.0,2.540547132230397e-06
cro2_Anti-Anion.png,A,0,cro2,527,456,90.41802215576172,45.54859161376953,0.0,255.0,4.161257032524385e-06
cro2_Anti-Metal.png,A,0,cro2,527,456,63.37688446044922,39.17436218261719,0.0,255.0,4.161257032524385e-06
cro2_Cr_adatom.png,A,0,cro2,527,456,32.87027359008789,24.50883674621582,0.0,255.0,4.161257032524385e-06
cro2_Defect-Free.png,A,0,cro2,527,456,90.12173461914062,47.66761779785156,0.0,255.0,4.161257032524385e-06
cro2_Int-Anion.png,A,0,cro2,527,456,80.68325805664062,52.831912994384766,0.0,255.0,8.32251406504877e-06
cro2_Int-Metal.png,A,0,cro2,527,456,78.4457015991211,52.67831039428711,0.0,255.0,4.161257032524385e-06
cro2_Vacancy-Anion-03.png,A,0,cro2,527,456,88.82807159423828,48.88766860961914,0.0,255.0,4.161257032524385e-06
cro2_Vacancy-Metal.png,A,0,cro2,527,456,91.86967468261719,49.96684265136719,0.0,255.0,4.161257032524385e-06
crse2_Adatom-Li.png,A,0,crse2,688,596,83.25839233398438,43.424705505371094,0.0,255.0,7.316216638052131e-06
crse2_Anti-Anion.png,A,0,crse2,688,596,53.27027130126953,35.292152404785156,0.0,255.0,9.754955517402841e-06
crse2_Anti-Metal.png,A,0,crse2,688,596,90.1856460571289,43.396148681640625,0.0,255.0,2.4387388793507103e-06
crse2_Defect-Free.png,A,0,crse2,688,596,89.76022338867188,47.29711151123047,0.0,255.0,2.4387388793507103e-06
crse2_Doped-Li.png,A,0,crse2,688,596,92.16407775878906,41.643924713134766,0.0,255.0,4.877477758701421e-06
crse2_Ti_adatom.png,A,0,crse2,688,596,64.59113311767578,34.27747344970703,0.0,255.0,2.4387388793507103e-06
crse2_Ti_doped.png,A,0,crse2,688,596,90.85889434814453,47.922698974609375,0.0,255.0,2.4387388793507103e-06
crse2_V_adatom.png,A,0,crse2,688,596,61.7015380859375,30.38523292541504,0.0,255.0,2.4387388793507103e-06
crse2_V_doped.png,A,0,crse2,688,596,92.03070068359375,44.83298110961914,0.0,255.0,4.877477758701421e-06
crse2_Vacancy-Anion-03.png,A,0,crse2,688,596,87.74773406982422,48.06260681152344,0.0,255.0,2.4387388793507103e-06
crse2_Vacancy-Metal.png,A,0,crse2,688,596,89.22167205810547,48.233280181884766,0.0,255.0,2.4387388793507103e-06
crte2_Adatom-Li.png,A,0,crte2,735,636,66.92797088623047,43.16722869873047,0.0,255.0,2.1392204680614386e-06
crte2_Anti-Anion.png,A,0,crte2,735,636,63.38582992553711,39.42627716064453,0.0,255.0,2.1392204680614386e-06
crte2_Anti-Metal.png,A,0,crte2,735,636,58.84190368652344,38.84459686279297,0.0,255.0,2.1392204680614386e-06
crte2_Cr_adatom.png,A,0,crte2,735,636,37.066009521484375,28.133272171020508,0.0,255.0,2.1392204680614386e-06
crte2_Defect-Free.png,A,0,crte2,735,636,44.39262008666992,32.833045959472656,0.0,255.0,6.417661404184315e-06
